satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Department,salary
0.43,0.53,2,146,3,marketing,low
0.1,0.97,7,254,4,sales,low
0.1,0.87,7,289,,sales,low
0.37,0.46,2,156,,sales,low
0.38,0.53,2,156,,sales,low
0.4,0.5,2,128,,sales,low
0.89,0.86,5,275,,sales,low
0.45,0.46,2,155,,sales,low
0.37,0.48,2,159,,sales,low
0.46,0.49,2,148,,sales,low
0.87,0.91,4,228,,sales,low
0.11,0.84,6,298,,sales,low
0.79,0.87,5,261,,sales,low
0.79,0.92,5,254,,sales,low
0.19,0.59,7,192,,sales,low
0.87,0.98,4,248,,sales,low
0.6,0.92,2,258,,sales,low
0.44,0.45,2,156,,sales,medium
0.11,0.81,6,266,,sales,medium
0.42,0.54,2,156,,sales,medium
0.88,0.88,5,232,,accounting,medium
0.11,0.84,6,287,,accounting,medium
0.46,0.46,2,154,,accounting,medium
0.82,0.97,5,263,,hr,medium
0.44,0.56,2,131,,hr,medium
0.11,0.78,6,260,,hr,medium
0.42,0.5,2,139,3,hr,medium
0.84,0.93,4,251,5,technical,medium
0.11,0.95,6,286,4,technical,medium
0.45,0.53,2,129,3,technical,high
0.38,0.56,2,156,,technical,low
0.38,0.86,6,139,,technical,medium
0.44,0.51,2,127,,technical,medium
0.11,0.84,6,251,,technical,medium
0.81,0.93,5,270,,technical,medium
0.09,0.96,6,296,,technical,low
0.11,0.9,6,254,,technical,low
0.81,0.95,5,238,,technical,low
0.1,0.97,6,267,,support,low
0.74,0.89,5,229,,support,low
0.09,0.78,6,254,,support,low
0.82,0.81,4,233,,support,low
0.1,0.98,6,268,,support,low
0.27,0.56,3,301,,support,low
0.83,0.92,5,267,,support,low
0.1,0.93,6,289,,support,low
0.38,0.47,2,144,,support,low
0.4,0.56,2,148,,support,low
0.11,0.83,6,306,,support,low
0.11,0.79,6,292,,technical,low
0.82,0.91,5,232,5,technical,low
0.36,0.48,2,137,3,technical,low
0.4,0.46,2,128,3,management,low
0.87,0.84,5,231,5,IT,low
0.41,0.49,2,146,3,IT,low
0.11,0.91,6,308,4,IT,low
0.1,0.93,6,253,4,IT,medium
0.38,0.51,2,146,3,IT,medium
0.39,0.55,2,156,3,product_mng,medium
0.4,0.52,2,147,3,product_mng,medium
0.45,0.48,2,136,3,product_mng,medium
0.74,0.84,5,249,5,product_mng,medium
0.45,0.55,2,151,3,IT,medium
0.12,1,3,278,4,RandD,medium
0.1,0.77,7,250,5,RandD,medium
0.37,0.55,2,127,,RandD,medium
0.89,0.87,5,255,,RandD,medium
0.45,0.47,2,135,,RandD,medium
0.37,0.46,2,149,,marketing,high
0.11,0.81,5,287,,sales,low
0.41,0.48,2,145,,accounting,medium
0.1,0.94,6,285,,support,medium
0.1,0.93,7,305,,technical,medium
0.11,0.95,7,300,,management,medium
0.4,0.54,2,139,,marketing,low
0.41,0.49,2,130,,marketing,low
0.1,0.81,6,268,,marketing,low
0.73,0.86,4,245,,sales,low
0.43,0.47,2,135,,sales,low
0.37,0.46,2,153,,sales,low
0.11,0.94,6,276,,sales,low
0.4,0.46,2,130,,sales,low
0.41,0.54,2,153,,sales,low
0.82,0.84,5,244,,sales,low
0.61,0.47,2,253,,sales,low
0.11,0.91,7,287,,sales,low
0.37,0.45,2,131,,sales,low
0.41,0.52,2,135,,sales,low
0.37,0.52,2,157,,sales,low
0.88,0.99,5,262,,sales,low
0.1,0.85,6,266,,sales,low
0.44,0.48,2,148,,sales,low
0.38,0.57,2,140,,sales,low
0.11,0.85,7,302,4,sales,low
0.09,0.98,6,271,4,sales,low
0.45,0.52,2,145,3,sales,medium
0.1,0.81,6,290,4,accounting,medium
0.45,0.47,2,151,3,accounting,medium
0.77,0.87,5,266,5,accounting,medium
0.44,0.51,2,140,3,hr,medium
0.39,0.5,2,142,,hr,medium
0.1,0.91,6,246,,hr,medium
0.09,0.89,7,308,,hr,medium
0.37,0.47,2,141,,technical,medium
0.9,1,5,232,,technical,medium
0.41,0.56,2,143,,technical,medium
0.37,0.52,2,155,,technical,medium
0.1,0.86,6,278,,technical,high
0.81,1,4,253,,technical,low
0.11,0.8,6,282,,technical,medium
0.11,0.84,7,264,,technical,medium
0.4,0.46,2,149,,technical,medium
0.09,0.8,6,304,,technical,medium
0.48,0.93,3,219,,technical,low
0.91,0.91,4,262,,support,low
0.43,0.57,2,135,,support,low
0.33,0.88,6,219,,support,low
0.41,0.57,2,136,,support,low
0.41,0.55,2,154,,support,low
0.37,0.54,2,149,,support,low
0.31,0.62,6,135,,support,low
0.09,0.91,6,275,,support,low
0.1,0.87,6,290,4,support,low
0.76,0.9,4,263,5,support,low
0.41,0.54,2,145,3,support,low
0.72,0.96,5,267,5,technical,low
0.4,0.5,2,141,3,technical,low
0.91,0.87,4,235,5,technical,low
0.1,0.83,6,258,4,management,low
0.4,0.56,2,131,3,IT,low
0.82,0.86,5,243,5,IT,low
0.1,0.82,6,266,4,IT,low
0.37,0.45,2,142,3,IT,low
0.36,0.51,2,135,3,IT,low
0.39,0.48,2,141,3,product_mng,medium
0.36,0.57,2,142,3,product_mng,medium
0.86,0.84,5,254,5,product_mng,medium
0.73,0.99,5,262,5,product_mng,medium
0.56,0.71,4,296,,IT,medium
0.44,0.56,2,158,,accounting,medium
0.31,0.56,4,238,,accounting,medium
0.77,0.93,4,231,,hr,medium
0.44,0.45,2,156,,hr,medium
0.38,0.46,2,145,,hr,medium
0.45,0.48,2,144,,marketing,medium
0.38,0.51,2,159,,sales,medium
0.36,0.48,2,156,,accounting,high
0.75,0.9,5,256,,support,low
0.1,0.93,6,298,,technical,medium
0.1,0.97,6,247,,management,medium
0.45,0.5,2,157,,marketing,medium
0.42,0.57,2,154,,marketing,medium
0.78,1,4,253,,marketing,low
0.45,0.55,2,148,,sales,low
0.84,1,4,261,,sales,low
0.11,0.93,6,282,,sales,low
0.42,0.56,2,133,,sales,low
0.45,0.46,2,128,,sales,low
0.46,0.57,2,139,,sales,low
0.09,0.79,6,293,,sales,low
0.87,0.83,4,265,,sales,low
0.1,0.87,6,250,,sales,low
0.91,1,5,251,,sales,low
0.76,0.92,4,246,,sales,low
0.74,1,5,275,5,sales,low
0.92,0.93,5,240,5,sales,low
0.76,0.87,5,245,5,sales,low
0.47,0.5,4,254,4,sales,low
0.73,0.99,5,241,5,sales,low
0.09,0.94,6,257,4,sales,low
0.91,0.92,4,246,5,sales,low
0.82,0.98,4,233,5,sales,low
0.28,0.45,6,218,,accounting,low
0.84,0.99,4,262,,accounting,medium
0.45,0.53,2,138,,accounting,medium
0.45,0.54,2,142,,hr,medium
0.91,0.97,5,233,,hr,medium
0.42,0.48,2,155,,hr,medium
0.82,1,4,229,,hr,medium
0.11,0.9,6,264,,technical,medium
0.42,0.53,3,199,,technical,medium
0.82,0.85,4,223,,technical,medium
0.09,0.96,6,268,,technical,medium
0.1,0.94,6,287,,technical,medium
0.86,1,5,257,,technical,medium
0.4,0.46,2,143,,technical,high
0.45,0.46,2,130,,technical,low
0.42,0.51,2,136,,technical,medium
0.74,0.92,4,261,,technical,medium
0.55,0.6,3,180,,technical,medium
0.37,0.45,2,126,,support,medium
0.41,0.52,2,127,,support,low
0.89,0.65,5,195,,support,low
0.41,0.57,2,160,,support,low
0.44,0.51,2,150,3,support,low
0.87,0.84,4,264,6,support,low
0.1,0.84,6,309,4,support,low
0.41,0.47,2,135,3,support,low
0.11,0.85,6,261,4,support,low
0.43,0.53,2,160,3,support,low
0.77,0.9,4,237,5,support,low
0.41,0.52,2,136,3,technical,low
0.41,0.48,2,139,3,technical,low
0.36,0.78,2,151,4,technical,low
0.77,1,5,229,5,management,low
0.81,0.98,5,245,5,IT,low
0.39,0.54,2,127,3,IT,low
0.09,0.94,6,283,5,IT,low
0.44,0.46,2,143,3,IT,low
0.1,0.84,5,298,4,IT,low
0.36,0.48,2,159,3,product_mng,low
0.81,0.92,5,239,5,product_mng,low
0.81,0.9,4,226,5,product_mng,medium
0.85,0.98,5,248,5,product_mng,medium
0.1,0.87,6,286,4,IT,medium
0.37,0.54,2,145,,RandD,medium
0.09,0.97,7,254,,RandD,medium
0.44,0.53,2,127,,RandD,medium
0.86,0.93,5,223,,RandD,medium
0.77,1,4,255,,RandD,medium
0.41,0.48,2,136,,marketing,medium
0.4,0.48,2,137,,sales,medium
0.43,0.49,2,135,,accounting,medium
0.43,0.5,2,137,,support,medium
0.8,0.53,3,255,,technical,high
0.8,0.85,4,273,,management,low
0.82,0.98,5,234,,marketing,medium
0.37,0.54,2,152,,marketing,medium
0.37,0.48,2,134,,marketing,medium
0.09,0.95,6,292,,sales,medium
0.9,0.92,5,245,,sales,low
0.41,0.52,2,159,,sales,low
0.1,0.85,6,260,,sales,low
0.44,0.53,2,149,,sales,low
0.89,0.85,5,266,,sales,low
0.42,0.56,2,149,,sales,low
0.87,1,5,242,,sales,low
0.45,0.57,2,134,,sales,low
0.11,0.87,5,271,,sales,low
0.09,0.79,6,275,,sales,low
0.76,0.83,5,227,,sales,low
0.11,0.96,7,277,,sales,low
0.37,0.49,2,151,,sales,low
0.1,0.79,6,274,4,sales,low
0.77,0.87,4,242,6,sales,low
0.42,0.54,2,143,3,sales,low
0.38,0.52,2,145,3,sales,low
0.32,0.95,5,172,2,sales,low
0.38,0.49,2,135,3,accounting,low
0.19,1,4,192,4,accounting,low
0.1,0.83,7,276,4,accounting,low
0.76,0.88,4,206,4,hr,medium
0.53,0.56,4,281,6,hr,medium
0.39,0.51,2,151,3,hr,medium
0.11,0.83,6,244,4,hr,medium
0.1,0.94,6,309,4,technical,medium
0.84,1,5,218,5,technical,medium
0.82,0.99,4,263,6,technical,medium
0.1,0.82,6,244,4,technical,medium
0.59,0.49,7,263,4,technical,medium
0.44,0.48,2,143,3,technical,medium
0.89,0.95,2,181,5,technical,medium
0.91,0.84,5,265,5,technical,medium
0.66,0.57,5,161,5,technical,high
0.11,0.87,7,282,5,technical,low
0.43,0.51,2,155,,technical,medium
0.78,0.83,4,217,,support,medium
0.11,0.97,6,289,,support,medium
0.83,0.98,4,259,,support,medium
0.39,0.54,2,158,,support,low
0.38,0.55,2,158,,support,low
0.37,0.57,2,155,,support,low
0.44,0.48,2,146,,support,low
0.53,0.85,2,164,,support,low
0.09,0.96,6,259,,support,low
0.11,0.89,6,293,,support,low
0.83,0.96,5,275,,support,low
0.88,1,5,219,,technical,low
0.1,0.89,6,247,,technical,low
0.09,0.86,7,309,,technical,low
0.44,0.54,2,151,,management,low
0.39,0.51,2,129,,IT,low
0.87,0.94,4,274,,IT,low
0.74,0.99,4,233,,IT,low
0.1,0.95,7,289,,IT,low
0.74,0.82,4,239,,IT,low
0.75,0.99,5,221,,product_mng,low
0.41,0.56,2,150,,product_mng,low
0.41,0.45,2,144,,product_mng,low
0.09,0.9,7,289,,product_mng,low
0.09,0.8,6,301,,IT,medium
0.39,0.57,2,145,,accounting,medium
0.4,0.56,2,137,,accounting,medium
0.37,0.54,2,131,,hr,medium
0.1,0.84,6,246,,hr,medium
0.43,0.51,2,136,,hr,medium
0.75,0.85,5,240,6,marketing,medium
0.37,0.56,2,156,,sales,medium
0.11,0.85,6,305,,accounting,medium
0.45,0.45,2,154,,support,medium
0.87,1,5,261,,technical,medium
0.11,0.94,7,244,,management,medium
0.45,0.54,2,129,,marketing,high
0.81,0.87,4,254,,marketing,low
0.77,0.91,5,236,,marketing,medium
0.89,0.92,5,237,,sales,medium
0.43,0.49,2,135,,sales,medium
0.78,1,5,236,,sales,medium
0.37,0.47,2,149,,sales,low
0.37,0.5,2,141,,sales,low
0.85,0.82,4,270,,sales,low
0.41,0.47,2,138,,sales,low
0.11,0.96,6,298,,sales,low
0.75,0.99,5,254,,sales,low
0.82,0.85,5,248,,sales,low
0.79,1,5,257,,sales,low
0.43,0.53,2,150,,sales,low
0.1,0.9,7,281,4,sales,low
0.46,0.48,2,141,,sales,low
0.43,0.57,2,157,,sales,low
0.43,0.55,2,136,,sales,low
0.11,0.8,7,296,,sales,low
0.09,0.86,6,279,,sales,low
0.37,0.53,2,131,,sales,low
0.4,0.57,2,160,,accounting,low
0.1,0.77,7,291,,accounting,low
0.41,0.53,2,157,,accounting,low
0.79,0.58,3,294,,hr,low
0.11,0.79,7,310,,hr,low
0.1,0.97,6,282,,hr,medium
0.44,0.51,2,134,,hr,medium
0.25,0.46,4,214,,technical,medium
0.44,0.52,2,137,,technical,medium
0.73,1,4,252,,technical,medium
0.75,0.97,5,243,,technical,medium
0.36,0.47,2,148,,technical,medium
0.37,0.49,2,151,3,technical,medium
0.39,0.49,2,129,,technical,medium
0.48,0.78,2,198,,technical,medium
0.57,0.72,4,275,,technical,medium
0.9,0.96,5,243,,technical,medium
0.39,0.55,2,159,,technical,high
0.44,0.51,2,145,,support,low
0.81,0.88,5,242,,support,medium
0.74,0.87,5,242,,support,medium
0.44,0.56,2,145,,support,medium
0.41,0.56,2,154,,support,medium
0.4,0.51,2,139,,support,low
0.46,0.57,2,152,,support,low
0.8,0.83,2,211,,support,low
0.87,0.9,5,258,,support,low
0.39,0.54,2,155,,support,low
0.38,0.55,2,148,,support,low
0.66,0.67,2,255,,technical,low
0.1,0.8,6,264,,technical,low
0.37,0.54,2,132,,technical,low
0.1,0.77,6,255,,management,low
0.09,0.87,5,263,,IT,low
0.86,0.84,5,222,,IT,low
0.11,0.9,6,263,,IT,low
0.37,0.46,2,157,,IT,low
0.11,0.92,7,307,,IT,low
0.77,0.98,5,259,,product_mng,low
0.84,0.94,5,222,,product_mng,low
0.1,0.84,7,250,,product_mng,low
0.83,0.9,5,245,,product_mng,low
0.11,0.79,6,292,,IT,low
0.86,0.92,5,252,,RandD,low
0.38,0.56,2,161,,RandD,medium
0.11,0.88,5,250,,RandD,medium
0.45,0.49,2,134,,RandD,medium
0.1,0.85,7,279,,RandD,medium
0.09,0.95,7,256,,marketing,medium
0.39,0.53,2,127,,sales,medium
0.37,0.47,2,138,,accounting,medium
0.81,0.97,5,243,5,support,medium
0.09,0.9,7,296,4,technical,medium
0.1,0.88,7,267,4,management,medium
0.39,0.49,2,144,3,marketing,medium
0.83,0.95,4,251,5,marketing,medium
0.45,0.57,2,148,3,marketing,high
0.43,0.51,2,141,3,sales,low
0.8,0.75,3,268,2,sales,medium
0.1,0.86,6,247,4,sales,medium
0.1,0.55,2,247,4,sales,medium
0.36,0.52,2,146,3,sales,medium
0.38,0.5,2,140,3,sales,low
0.78,0.98,5,263,6,sales,low
0.44,0.49,2,145,3,sales,low
0.41,0.46,2,156,3,sales,low
0.72,0.85,5,244,6,sales,low
0.46,0.54,2,144,3,sales,low
0.1,0.9,7,286,4,sales,low
0.34,0.67,4,141,2,sales,low
0.11,0.89,6,260,5,sales,low
0.38,0.56,2,154,3,sales,low
0.82,0.92,5,225,5,sales,low
0.39,0.57,2,127,3,sales,low
0.44,0.53,2,140,3,sales,low
0.43,0.52,2,147,3,sales,low
0.84,0.83,4,227,5,accounting,low
0.43,0.48,2,153,3,accounting,low
0.37,0.52,2,128,3,accounting,low
0.74,0.97,4,228,,hr,low
0.73,0.97,5,235,5,hr,low
0.37,0.47,2,148,,hr,low
0.58,0.62,4,238,,hr,low
0.4,0.54,2,141,,technical,medium
0.51,0.83,5,249,,technical,medium
0.46,0.5,2,151,,technical,medium
0.45,0.54,2,129,,technical,medium
0.46,0.5,2,156,,technical,medium
0.39,0.45,2,134,,technical,medium
0.09,0.88,6,269,,technical,medium
0.09,0.77,6,290,,technical,medium
0.37,0.51,2,132,,technical,medium
0.1,0.89,7,308,,technical,medium
0.77,1,4,232,,technical,medium
0.79,0.86,5,235,,support,medium
0.43,0.55,2,130,,support,high
0.38,0.53,2,146,,support,low
0.77,0.91,5,221,,support,medium
0.44,0.5,2,130,,support,medium
0.39,0.46,2,136,,support,medium
0.78,0.89,5,274,,support,medium
0.1,0.79,6,256,,support,low
0.1,0.77,5,276,,support,low
0.75,0.85,5,267,,support,low
0.46,0.62,6,213,,support,low
0.91,0.97,4,274,,technical,low
0.1,0.92,6,258,,technical,low
0.72,0.6,3,153,,technical,low
0.11,0.95,6,245,,management,low
0.11,0.94,6,264,,IT,low
0.46,0.57,2,154,3,IT,low
0.37,0.46,2,149,3,IT,low
0.46,0.5,2,157,3,IT,low
0.43,0.57,2,127,3,IT,low
0.11,0.82,6,270,4,product_mng,low
0.73,0.89,5,236,6,product_mng,low
0.43,0.47,2,158,3,product_mng,low
0.86,1,5,229,5,product_mng,low
0.1,0.83,6,269,4,IT,low
0.4,0.49,2,128,3,sales,low
0.11,0.87,7,278,4,sales,low
0.86,0.98,3,158,5,sales,low
0.42,1,3,202,3,sales,medium
0.79,0.84,4,240,,sales,medium
0.1,0.96,7,255,,marketing,medium
0.09,0.92,7,254,,sales,medium
0.09,0.82,6,257,,accounting,medium
0.87,1,4,228,,support,medium
0.36,0.49,2,145,,technical,medium
0.42,0.75,3,218,,management,medium
0.84,0.86,5,268,,marketing,medium
0.1,0.83,6,278,,marketing,medium
0.78,0.71,3,249,,marketing,medium
0.35,0.99,3,236,,sales,medium
0.1,0.81,7,291,,sales,high
0.11,0.8,6,306,,sales,low
0.43,0.48,2,135,,sales,medium
0.38,0.45,2,156,,sales,medium
0.46,0.54,2,143,,sales,medium
0.89,0.82,4,243,,sales,medium
0.45,0.5,2,147,,sales,low
0.44,0.53,2,159,,sales,low
0.74,0.54,5,216,,sales,low
0.45,0.54,2,152,,sales,low
0.79,0.93,4,226,,sales,low
0.79,0.91,5,271,,sales,low
0.11,0.87,6,255,,sales,low
0.42,0.48,2,140,,sales,low
0.64,0.9,6,252,,sales,low
0.4,0.55,2,159,,sales,low
0.84,0.98,5,270,,sales,low
0.73,0.92,5,232,,sales,low
0.4,0.51,2,144,,accounting,low
0.36,0.45,2,127,,accounting,low
0.43,0.47,2,131,,accounting,low
0.11,0.78,6,243,,hr,low
0.91,1,5,244,,hr,low
0.8,1,5,260,,hr,low
0.42,0.49,2,139,,hr,low
0.31,0.87,4,184,,technical,low
0.44,0.47,2,130,,technical,low
0.38,0.54,2,135,,technical,medium
0.45,0.56,2,146,,technical,medium
0.43,0.46,2,149,,technical,medium
0.45,0.46,2,153,,technical,medium
0.43,0.57,2,160,,technical,medium
0.43,0.49,2,160,,technical,medium
0.09,0.83,6,282,,technical,medium
0.43,0.47,2,128,,technical,medium
0.79,0.94,4,232,,technical,medium
0.85,0.58,3,226,,support,medium
0.38,0.45,2,129,,support,medium
0.11,0.92,7,255,,support,medium
0.83,0.99,5,258,,support,high
0.81,0.91,4,229,,support,low
0.42,0.56,2,143,,support,medium
0.11,0.87,6,257,,support,medium
0.11,0.85,7,275,,support,medium
0.1,0.89,7,291,,support,medium
0.5,0.54,5,153,,support,low
0.44,0.49,2,154,,support,low
0.11,0.9,6,301,,technical,low
0.39,0.52,2,134,,technical,low
0.11,0.78,6,245,,technical,low
0.36,0.5,2,132,,management,low
0.43,0.51,2,130,,IT,low
0.4,0.5,2,127,,IT,low
0.86,0.84,4,246,,IT,low
